"Report reference","Item reference","Type","Title","LGA","Community","Sector","Observation date","First submitted","Revision number","Review state","Observed progress","Confirmed progress","Observation","Evidence count"
"RPT-00103","ITEM-0035","PUBLIC_PROJECT","Demo roof check","Bade","Demo village","Health","2026-09-08","2026-09-08T02:59:41.827Z","1","APPROVED","IN_PROGRESS","NOT_CONFIRMED","This is a fictional field observation with enough detail for validation.","0"
"RPT-00074","ITEM-0013","PUBLIC_PROJECT","DEMO — School roof repair Nguru","Nguru","Demo community 13","Health","2026-09-06","2026-09-08T02:56:53.382Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00077","ITEM-0030","SERVICE_ISSUE","DEMO — Water point service check Nguru","Nguru","Demo community 13","Education","2026-09-06","2026-09-08T02:56:53.382Z","1","SUBMITTED","ACTION_IN_PROGRESS","OPEN","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00094","ITEM-0033","SERVICE_ISSUE","DEMO — Water point service check Yunusari","Yunusari","Demo community 16","Education","2026-09-02","2026-09-08T02:56:53.382Z","1","APPROVED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00093","ITEM-0016","PUBLIC_PROJECT","DEMO — School roof repair Yunusari","Yunusari","Demo community 16","Health","2026-09-06","2026-09-08T02:56:53.382Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00088","ITEM-0032","SERVICE_ISSUE","DEMO — Water point service check Tarmuwa","Tarmuwa","Demo community 15","Health","2026-09-06","2026-09-08T02:56:53.382Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00086","ITEM-0015","PUBLIC_PROJECT","DEMO — School roof repair Tarmuwa","Tarmuwa","Demo community 15","Livelihoods","2026-09-08","2026-09-08T02:56:53.382Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00075","ITEM-0013","PUBLIC_PROJECT","DEMO — School roof repair Nguru","Nguru","Demo community 13","Health","2026-09-08","2026-09-08T02:56:53.382Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00102","ITEM-0034","SERVICE_ISSUE","DEMO — Water point service check Yusufari","Yusufari","Demo community 17","Livelihoods","2026-09-07","2026-09-08T02:56:53.382Z","1","IN_REVIEW","ACTION_IN_PROGRESS","OPEN","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00097","ITEM-0017","PUBLIC_PROJECT","DEMO — School roof repair Yusufari","Yusufari","Demo community 17","Education","2026-09-03","2026-09-08T02:56:53.382Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
